Прайс БРЛ;;
Забайкальский край, г Чита – Москва/ Москва-Чита;;
Автомобиль Грузоподъемностью 1,5 тонн;140 000,00;168 000,00
Автомобиль Грузоподъемностью 3,0 тонн;248 333,33;298 000,00
Автомобиль Грузоподъемностью 5,0 тонн;241 666,67;290 000,00
Автомобиль Грузоподъемностью 10,0 тонн;262 500,00;315 000,00
Автомобиль Грузоподъемностью 15,0 тонн;341 666,67;410 000,00
Автомобиль Грузоподъемностью 20,0 тонн;396 666,67;476 000,00
Забайкальский край, г. Чита – Санкт - Питербург/ Санкт Питербург - Чита;;
Автомобиль Грузоподъемностью 1,5 тонн;140 833,33;169 000,00
Автомобиль Грузоподъемностью 3,0 тонн;165 000,00;198 000,00
Автомобиль Грузоподъемностью 5,0 тонн;233 333,33;280 000,00
Автомобиль Грузоподъемностью 10,0 тонн;283 333,33;340 000,00
Автомобиль Грузоподъемностью 15,0 тонн;383 333,33;460 000,00
Автомобиль Грузоподъемностью 20,0 тонн;412 500,00;495 000,00
Чита - Мурманск/ Мурманск - Чита;;
Автомобиль Грузоподъемностью 1,5 тонн;157 500,00;189 000,00
Автомобиль Грузоподъемностью 3,0 тонн;215 833,33;259 000,00
Автомобиль Грузоподъемностью 5,0 тонн;332 500,00;399 000,00
Автомобиль Грузоподъемностью 10,0 тонн;428 333,33;514 000,00
Автомобиль Грузоподъемностью 15,0 тонн;506 666,67;608 000,00
Автомобиль Грузоподъемностью 20,0 тонн;537 500,00;645 000,00
Чита - Краснодар/ Краснодар - Чита;;
Автомобиль Грузоподъемностью 1,5 тонн;91 666,67;110 000,00
Автомобиль Грузоподъемностью 3,0 тонн;129 166,67;155 000,00
Автомобиль Грузоподъемностью 5,0 тонн;179 166,67;215 000,00
Автомобиль Грузоподъемностью 10,0 тонн;254 166,67;305 000,00
Автомобиль Грузоподъемностью 15,0 тонн;345 833,33;415 000,00
Автомобиль Грузоподъемностью 20,0 тонн;400 000,00;480 000,00
Забайкальский край, г. Чита – Воронеж / Воронеж - Чита;;
Автомобиль Грузоподъемностью 1,5 тонн;137 500,00;165 000,00
Автомобиль Грузоподъемностью 3,0 тонн;141 666,67;170 000,00
Автомобиль Грузоподъемностью 5,0 тонн;238 333,33;286 000,00
Автомобиль Грузоподъемностью 10,0 тонн;331 666,67;398 000,00
Автомобиль Грузоподъемностью 15,0 тонн;440 833,33;529 000,00
Автомобиль Грузоподъемностью 20,0 тонн;465 833,33;559 000,00
Чита - Саратов/ Саратов - Чита;;
Автомобиль Грузоподъемностью 1,5 тонн;100 000,00;120 000,00
Автомобиль Грузоподъемностью 3,0 тонн;141 666,67;170 000,00
Автомобиль Грузоподъемностью 5,0 тонн;237 500,00;285 000,00
Автомобиль Грузоподъемностью 10,0 тонн;316 666,67;380 000,00
Автомобиль Грузоподъемностью 15,0 тонн;415 833,33;499 000,00
Автомобиль Грузоподъемностью 20,0 тонн;445 833,33;535 000,00
Забайкальский край, г. Чита – Уфа / Уфа - Чита;;
Автомобиль Грузоподъемностью 1,5 тонн;91 666,67;110 000,00
Автомобиль Грузоподъемностью 3,0 тонн;129 166,67;155 000,00
Автомобиль Грузоподъемностью 5,0 тонн;212 500,00;255 000,00
Автомобиль Грузоподъемностью 10,0 тонн;262 500,00;315 000,00
Автомобиль Грузоподъемностью 15,0 тонн;333 333,33;400 000,00
Автомобиль Грузоподъемностью 20,0 тонн;350 000,00;420 000,00
Чита - Екатеринбург/ Екатеринбург - Чита;;
Автомобиль Грузоподъемностью 1,5 тонн;120 833,33;145 000,00
Автомобиль Грузоподъемностью 3,0 тонн;157 500,00;189 000,00
Автомобиль Грузоподъемностью 5,0 тонн;245 833,33;295 000,00
Автомобиль Грузоподъемностью 10,0 тонн;327 950,00;393 540,00
Автомобиль Грузоподъемностью 15,0 тонн;372 500,00;447 000,00
Автомобиль Грузоподъемностью 20,0 тонн;390 833,33;469 000,00
