Прайс рттк;;
Забайкальский край, г Чита – с Газимурский завод, Быстринский ГОК;;
Автомобиль Грузоподъемностью 1,5 тонн;63 609,22;
Автомобиль Грузоподъемностью 3,0 тонн;65 922,28;
Автомобиль Грузоподъемностью 5,0 тонн;68 235,34;
Автомобиль Грузоподъемностью 10,0 тонн;138 783,74;
Автомобиль Грузоподъемностью 15,0 тонн;142 253,34;
Автомобиль Грузоподъемностью 20,0 тонн;144 566,40;
Забайкальский край, г. Чита – Забайкальский край, г. Борзя;;
Автомобиль Грузоподъемностью 1,5 тонн;46 261,25;
Автомобиль Грузоподъемностью 3,0 тонн;48 574,31;
Автомобиль Грузоподъемностью 5,0 тонн;52 043,90;
Автомобиль Грузоподъемностью 10,0 тонн;80 957,18;
Автомобиль Грузоподъемностью 15,0 тонн;84 426,78;
Автомобиль Грузоподъемностью 20,0 тонн;86 739,84;
Иркутская область, г. Иркутск - с Газимурский завод, Быстринский ГОК;;
Автомобиль Грузоподъемностью 1,5 тонн;173 479,68;
Автомобиль Грузоподъемностью 3,0 тонн;185 044,99;
Автомобиль Грузоподъемностью 5,0 тонн;196 610,30;
Автомобиль Грузоподъемностью 10,0 тонн;335 394,05;
Автомобиль Грузоподъемностью 15,0 тонн;341 176,70;
Автомобиль Грузоподъемностью 20,0 тонн;346 959,36;
Хабаровский край, г. Хабаровск - с Газимурский завод, Быстринский ГОК;;
